timestamp,X,Y,Z
1568654742173,-1.830367,6.883330,4.593276
1568654742183,-2.007538,6.199785,5.598841
1568654742192,-1.702277,5.382165,6.876147
1568654742201,-1.258153,4.781221,7.852982
1568654742210,-0.872687,4.799177,8.471883
1568654742220,-0.666785,5.470751,8.593987
1568654742229,-0.762553,6.259640,8.315063
1568654742239,-0.946907,6.574478,8.233660
1568654742248,-1.071405,6.536170,8.165425
1568654742257,-1.115698,6.435614,8.143877
1568654742267,-1.187524,6.136339,8.215703
1568654742277,-1.138443,5.919664,8.298303
1568654742287,-0.718261,5.913678,8.333019
1568654742296,-0.718261,5.913678,8.333019
1568654742306,-0.233435,5.900510,8.316259
1568654742316,0.021548,5.900510,8.285135
1568654742325,0.111330,6.148310,8.285135
1568654742335,0.070629,6.282385,8.267179
1568654742344,-0.130484,6.125565,7.953538
1568654742353,-0.486023,6.105214,7.965509
1568654742362,-0.776918,5.849035,8.072051
1568654742372,-0.877475,5.494693,8.359355
1568654742381,-0.926556,5.335478,8.639477
1568654742391,-0.887052,5.413290,8.772355
1568654742400,-0.700304,5.589264,8.819042
1568654742410,-0.399832,5.773617,8.743625
1568654742419,0.013168,5.928043,8.702923
1568654742429,0.538695,6.100426,8.573636
1568654742438,0.629675,5.918467,8.418014
1568654742447,0.169988,5.397728,8.632295
1568654742456,-0.355539,5.125986,8.884883
1568654742466,-0.544681,5.255273,9.014170
1568654742475,-0.647632,5.452795,8.845378
1568654742485,-0.761356,5.451597,8.485051
1568654742495,-0.800860,5.327099,8.170214
1568654742505,-0.706290,5.248090,7.960721
1568654742514,-0.475249,5.149928,7.688979
1568654742523,-0.195127,5.011064,7.447165
1568654742532,-0.185551,4.953603,7.380127
1568654742542,-0.439336,4.860229,7.463924
1568654742551,-0.720655,4.911705,7.721301
1568654742561,-0.809240,5.066131,8.002619
1568654742571,-0.776918,5.151125,8.494628
1568654742580,-0.688333,5.345055,8.547300
1568654742590,-0.553061,5.695806,8.404845
1568654742600,-0.593762,5.761646,8.457518
1568654742609,-0.624887,5.704185,8.482656
1568654742618,-0.489614,5.628768,8.455123
1568654742628,-0.354342,5.475539,8.597578
1568654742637,-0.302867,5.359420,8.676587
1568654742647,-0.379481,5.267244,8.530540
1568654742656,-0.417788,5.170279,8.279149
1568654742666,-0.378284,5.147533,8.127118
1568654742676,-0.270545,5.178658,8.122330
1568654742685,-0.179565,5.225345,8.179790
1568654742695,0.001197,5.227739,8.182184
1568654742704,0.225055,5.252879,8.169016
1568654742714,0.369904,5.233725,8.198944
1568654742723,0.383072,5.188235,8.212111
1568654742733,0.356736,5.164293,8.202535
1568654742742,0.328006,5.139154,8.232463
1568654742752,0.302867,5.094861,8.279149
1568654742762,0.280122,5.079299,8.261193
1568654742771,0.231040,5.055357,8.254010
1568654742781,0.148441,4.796783,8.298303
1568654742790,0.190339,4.950012,8.099585
1568654742799,0.129287,4.924873,8.198944
1568654742808,-0.061052,4.950012,8.305486
1568654742818,0.003591,5.036203,8.310274
1568654742827,0.116119,5.082890,8.445546
1568654742837,0.243011,5.136760,8.432379
1568654742847,0.281319,5.243302,8.407239
1568654742857,0.137667,5.230134,8.479065
1568654742866,-0.017957,5.141548,8.540117
1568654742875,-0.124498,5.046977,8.531737
1568654742885,-0.195127,4.933253,8.482656
1568654742894,-0.250194,4.783615,8.485051
1568654742904,-0.187945,4.969166,8.261193
1568654742914,-0.180762,4.973954,8.285135
1568654742923,-0.258574,4.908113,8.414422
1568654742932,-0.356736,4.920084,8.507795
1568654742942,-0.365116,4.954801,8.519767
1568654742951,-0.313640,4.959589,8.482656
1568654742961,-0.233435,4.957195,8.395268
1568654742971,-0.193930,4.991910,8.426393
1568654742980,-0.239420,4.957195,8.524555
1568654742989,-0.318429,4.973954,8.663419
1568654742999,-0.391452,4.973954,8.827422
1568654743008,-0.383072,4.970363,8.931569
1568654743017,-0.324414,4.972757,8.944737
1568654743027,-0.272939,4.961983,8.874108
1568654743036,-0.232238,4.946421,8.740033
1568654743045,-0.202310,4.903325,8.560468
1568654743054,-0.112527,4.839879,8.269572
1568654743064,-0.016759,4.837484,8.101978
1568654743073,-0.039504,4.814740,8.045714
1568654743083,-0.209493,4.824317,8.085219
1568654743092,-0.395043,4.850653,8.198944
1568654743101,-0.446519,4.867412,8.353370
1568654743111,-0.411803,4.932055,8.456321
1568654743120,-0.363919,4.967968,8.498219
1568654743129,-0.333991,4.978743,8.468291
1568654743139,-0.268151,4.977545,8.392874
1568654743148,-0.208296,4.972757,8.343793
1568654743158,-0.192733,4.967968,8.333019
1568654743168,-0.221464,4.976348,8.349778
1568654743177,-0.276530,4.978743,8.380903
1568654743187,-0.314838,4.977545,8.384495
1568654743197,-0.307655,4.976348,8.402451
1568654743206,-0.280122,4.983531,8.385692
1568654743215,-0.268151,4.971560,8.379706
1568654743225,-0.280122,4.963180,8.401254
1568654743234,-0.277727,4.929661,8.412027
1568654743244,-0.292093,4.930859,8.441956
1568654743254,-0.320823,4.923676,8.481460
1568654743263,-0.354342,4.933253,8.487445
1568654743273,-0.344765,4.936844,8.471883
1568654743283,-0.307655,4.935647,8.437167
1568654743292,-0.220267,4.945224,8.373720
1568654743302,-0.187945,4.944026,8.319851
1568654743312,-0.220267,4.939238,8.312668
1568654743321,-0.256180,4.935647,8.361750
1568654743330,-0.272939,4.955997,8.462306
1568654743340,-0.259771,4.967968,8.540117
1568654743349,-0.281319,5.000290,8.583213
1568654743358,-0.344765,4.989516,8.578424
1568654743367,-0.387861,4.982334,8.516175
1568654743377,-0.386664,4.972757,8.431181
1568654743386,-0.348356,4.952406,8.368932
1568654743395,-0.325611,4.952406,8.298303
1568654743405,-0.306458,4.941632,8.254010
1568654743414,-0.294487,4.930859,8.277952
1568654743424,-0.301669,4.941632,8.380903
1568654743433,-0.260968,4.939238,8.444349
1568654743443,-0.246603,4.951209,8.482656
1568654743452,-0.272939,4.945224,8.504205
1568654743462,-0.333991,4.922479,8.513782
1568654743471,-0.351948,4.898537,8.518570
1568654743480,-0.324414,4.903325,8.518570
1568654743490,-0.278924,4.916493,8.518570
1568654743499,-0.210690,4.946421,8.494628
1568654743509,-0.140061,4.975151,8.453926
1568654743518,-0.099359,4.975151,8.408437
1568654743527,-0.100556,4.978743,8.365341
1568654743537,-0.131681,4.975151,8.355764
1568654743546,-0.167594,4.966772,8.397662
1568654743556,-0.239420,4.959589,8.441956
1568654743565,-0.281319,4.941632,8.434772
