"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.299953000E0,-3.829514235E-2,-1.733288002E1,8.565430045E-1,1.735407336E1
2.309991000E0,1.790446043E-2,-1.717283249E1,9.884898663E-1,1.720126764E1
2.319776000E0,1.351905912E-1,-1.707998085E1,1.089282632E0,1.711521425E1
2.329886000E0,2.249877751E-1,-1.701461792E1,1.147925735E0,1.705478162E1
2.340408000E0,3.288348615E-1,-1.700117874E1,1.080119729E0,1.703862875E1
2.349734000E0,3.954191804E-1,-1.703660965E1,8.913623095E-1,1.706449388E1
2.359763000E0,3.740389049E-1,-1.706715393E1,7.209309340E-1,1.708646803E1
2.369742000E0,4.027495682E-1,-1.694314766E1,8.119498491E-1,1.696737229E1
2.379860000E0,5.035423636E-1,-1.716305923E1,9.219055772E-1,1.719517569E1
2.390254000E0,3.379978538E-1,-1.750636482E1,7.343699336E-1,1.752502071E1
2.399724000E0,1.718425006E-1,-1.761204529E1,6.378532648E-1,1.762442980E1
2.409807000E0,1.467970312E-1,-1.769206810E1,6.940528750E-1,1.770628511E1
2.419693000E0,3.684128448E-2,-1.800299835E1,7.325373888E-1,1.801793323E1
2.429768000E0,-7.311446220E-2,-1.816487885E1,7.899587154E-1,1.818219470E1
2.439655000E0,-6.944927573E-2,-1.838295746E1,8.748689890E-1,1.840389480E1
2.449850000E0,-2.485610731E-2,-1.853994942E1,9.671096206E-1,1.856517286E1
2.459575000E0,2.462397702E-2,-1.869510841E1,1.074011087E0,1.872594950E1
2.469702000E0,1.541274041E-1,-1.880628586E1,1.138151884E0,1.884132513E1
2.479699000E0,3.862561882E-1,-1.890646744E1,1.056295991E0,1.893989087E1
2.489631000E0,6.061677337E-1,-1.873603630E1,1.023309231E0,1.877374916E1
2.499842000E0,5.322530270E-1,-1.868350220E1,1.197405815E0,1.872939744E1
2.509859000E0,5.023205876E-1,-1.858026695E1,1.331796169E0,1.863470759E1
2.519664000E0,6.134980917E-1,-1.858393097E1,1.025752664E0,1.862232635E1
2.529692000E0,7.118474245E-1,-1.834508324E1,9.707748294E-1,1.838453724E1
2.539660000E0,8.999938965E-1,-1.798711586E1,1.203514457E0,1.804978596E1
2.549691000E0,1.036827683E0,-1.773360634E1,1.317135453E0,1.781265424E1
2.559627000E0,1.055153728E0,-1.762059784E1,1.080119729E0,1.768517674E1
2.569735000E0,6.525934935E-1,-1.786555481E1,7.838500738E-1,1.789464579E1
2.579705000E0,4.729990661E-1,-1.755340195E1,6.280794144E-1,1.757100258E1
2.589651000E0,5.394551158E-2,-1.747948647E1,5.028520226E-1,1.748680123E1
2.599798000E0,-2.765325904E-1,-1.730600166E1,4.552045763E-1,1.731419577E1
2.609682000E0,-5.996803045E-1,-1.711113548E1,4.845261276E-1,1.712849496E1
2.619733000E0,-6.839796901E-1,-1.675011444E1,5.712689161E-1,1.677380428E1
2.630120000E0,-3.712167144E-1,-1.643796158E1,6.519031525E-1,1.645507096E1
2.639727000E0,4.172820598E-2,-1.638787079E1,6.793920994E-1,1.640200061E1
2.649875000E0,1.052581891E-1,-1.630479240E1,8.015651107E-1,1.632482286E1
2.659790000E0,5.822156742E-2,-1.625225830E1,9.671096206E-1,1.628111147E1
2.669820000E0,6.371935457E-2,-1.612642097E1,1.095391273E0,1.616370612E1
2.679824000E0,2.292638272E-1,-1.604395294E1,1.067291498E0,1.608104782E1
2.690193000E0,3.502151370E-1,-1.600241470E1,9.322903156E-1,1.603337432E1
2.699845000E0,4.271841645E-1,-1.594499397E1,8.693711758E-1,1.597438967E1
2.709692000E0,4.210755229E-1,-1.587413311E1,7.978999615E-1,1.589975003E1
2.719818000E0,3.227262199E-1,-1.597553730E1,6.457945108E-1,1.599184151E1
2.729865000E0,3.838127255E-1,-1.596331978E1,8.247780204E-1,1.598921979E1
2.740022000E0,3.477717042E-1,-1.623943138E1,7.911804318E-1,1.626241197E1
2.749620000E0,1.639012545E-1,-1.641841507E1,6.396858692E-1,1.643168935E1
2.759607000E0,9.181915224E-2,-1.650027084E1,6.470162272E-1,1.651320680E1
2.769702000E0,1.296927929E-1,-1.664260101E1,7.117679715E-1,1.665831931E1
2.779781000E0,2.060509473E-1,-1.693581772E1,7.704110146E-1,1.695458380E1
2.789865000E0,-6.578408182E-2,-1.715756035E1,7.667458057E-1,1.717481015E1
2.800751000E0,-1.989527047E-1,-1.734387589E1,8.156150579E-1,1.736418270E1
2.810149000E0,-7.861225307E-2,-1.753935242E1,8.797559142E-1,1.756157833E1
2.820385000E0,5.883243307E-2,-1.768229485E1,9.506162405E-1,1.770792714E1
2.829690000E0,1.767294258E-1,-1.781118774E1,1.014146209E0,1.784091182E1
2.839829000E0,3.660976589E-1,-1.795229721E1,9.677205086E-1,1.798208791E1
2.849680000E0,5.927286744E-1,-1.800727463E1,8.186693788E-1,1.803561716E1
2.859592000E0,5.566876531E-1,-1.791930962E1,8.296649456E-1,1.794714189E1
2.870113000E0,3.832018673E-1,-1.781485176E1,1.077065349E0,1.785149452E1
2.879704000E0,4.418449402E-1,-1.783195686E1,1.089893579E0,1.787069614E1
2.889617000E0,5.322530270E-1,-1.775926399E1,9.383989573E-1,1.779200223E1
2.899666000E0,5.285878181E-1,-1.759005356E1,9.322903156E-1,1.762267161E1
2.909580000E0,6.385436058E-1,-1.732555008E1,1.163197398E0,1.737628993E1
2.919992000E0,8.566224575E-1,-1.706898499E1,1.395936966E0,1.714738145E1
2.929782000E0,9.232068062E-1,-1.691443634E1,1.373945832E0,1.699524035E1
2.939820000E0,4.693338871E-1,-1.705799103E1,8.088955283E-1,1.708360747E1
2.949747000E0,3.434956372E-1,-1.665542984E1,6.677856445E-1,1.667235047E1
2.959732000E0,-1.140424386E-1,-1.660839272E1,5.462234616E-1,1.661776382E1
2.969762000E0,-4.549052417E-1,-1.642452240E1,4.991868436E-1,1.643840206E1
2.980040000E0,-7.670573592E-1,-1.627363968E1,5.382822156E-1,1.630059732E1
2.989665000E0,-6.589341760E-1,-1.578189278E1,6.121969223E-1,1.580750198E1
3.000155000E0,1.083125174E-1,-1.565971947E1,6.231924891E-1,1.567248909E1
3.009933000E0,8.632136881E-2,-1.564383698E1,7.569719553E-1,1.566237827E1
3.019908000E0,7.349319756E-2,-1.550822544E1,8.455474377E-1,1.553143290E1
3.029842000E0,1.095342413E-1,-1.544774914E1,9.151860476E-1,1.547522267E1
3.039641000E0,1.241950095E-1,-1.533779335E1,9.762725830E-1,1.536933432E1
3.049949000E0,2.720243931E-1,-1.524921799E1,8.895297050E-1,1.527756229E1
3.059713000E0,3.807584047E-1,-1.514598179E1,7.740762234E-1,1.517052851E1
3.069664000E0,4.106908143E-1,-1.505435181E1,7.362025380E-1,1.507793651E1
3.079886000E0,4.100799561E-1,-1.495783520E1,9.274033904E-1,1.499216717E1
